prob_q5_q1,i_urban,share_black,share_middleclass,share_divorced,share_married
0.0948783,1,0.0213031,0.59102,0.1252726,0.58257
0.1734417,0,0.0013118,0.6183,0.1050374,0.6157324
0.0319489,0,0.0010343,0.49506,0.095269,0.4539901
0.1520737,0,0.0062292,0.66472,0.0711772,0.6048121
0.1676737,0,0.0017493,0.71154,0.0623136,0.6292897
0.1108742,0,0.0046863,0.64089,0.0778582,0.5937243
0.1858736,0,0.0056194,0.68254,0.0679312,0.6393326
0.141189,1,0.0027282,0.65337,0.0889598,0.6158871
0.1125235,1,0.0124193,0.61462,0.087847,0.5679279
0.1003861,0,0.0011127,0.66286,0.0716579,0.6076742
0.091687,1,0.0226154,0.58643,0.0903192,0.5374638
0.1586957,0,0.0021458,0.65682,0.0876747,0.6057179
0.1226415,0,0.0060792,0.67076,0.0951955,0.6095681
0.0774395,1,0.0734997,0.53533,0.1033434,0.5551417
0.1448598,0,0.0108677,0.60631,0.082183,0.6287032
0.1622807,0,0.0010638,0.67085,0.0874633,0.6377378
0.1453488,0,4.925e-4,0.6144,0.0768082,0.6383544
0.1764706,0,6.105e-4,0.63209,0.0683453,0.6639121
0.1247216,0,0.0050085,0.57099,0.0949701,0.6176617
